CityName,Parent,Value
Origin,,
Tokyo,Origin,36.01403
Delhi,Origin,43.345059
Shanghai,Origin,34.341242
Sao Paulo,Origin,24.490136
Mexico City,Origin,25.414624
Dhaka,Origin,31.233651
Al-Qahirah (Cairo),Origin,28.504351
Beijing,Origin,25.36592
Mumbai (Bombay),Origin,27.342819
Kinki M.M.A. (Osaka),Origin,18.345611
New York-Newark,Origin,20.81717
Karachi,Origin,23.128137
Chongqing,Origin,20.531266
Istanbul,Origin,17.986297
Buenos Aires,Origin,17.127741
Kolkata (Calcutta),Origin,19.56417
Lagos,Origin,24.418768
Kinshasa,Origin,26.681825
Manila,Origin,18.649422
Tianjin,Origin,16.445898
